Date,Model,Actual,Predicted,Probability
2021-05-10,Logistic Regression,0,0,0.3393345333847664
2021-05-11,Logistic Regression,1,1,0.5879638234434796
2021-05-11,Logistic Regression,1,0,0.38343219580799254
2021-05-12,Logistic Regression,0,1,0.5996829140310724
2021-05-13,Logistic Regression,0,0,0.3374328233071919
2021-05-13,Logistic Regression,1,1,0.6673211434510734
2021-05-14,Logistic Regression,1,1,0.7207811141100127
2021-05-15,Logistic Regression,1,0,0.3546082418793065
2021-05-15,Logistic Regression,0,0,0.47184970426090955
2021-05-15,Logistic Regression,1,0,0.42849283734930327
2021-05-16,Logistic Regression,1,1,0.5564700402786563
2021-05-16,Logistic Regression,0,0,0.3449968028275401
2021-05-16,Logistic Regression,1,0,0.38287701427084897
2021-05-16,Logistic Regression,0,0,0.2257700631548136
2021-05-18,Logistic Regression,0,0,0.34543659313561437
2021-05-18,Logistic Regression,0,0,0.3419521932725607
2021-05-18,Logistic Regression,1,1,0.623774769758854
2021-05-18,Logistic Regression,1,0,0.464730354589705
2021-05-19,Logistic Regression,1,0,0.4861492649786479
2021-05-19,Logistic Regression,1,1,0.6508436412835478
2021-05-19,Logistic Regression,1,0,0.2900691795865893
2021-05-19,Logistic Regression,1,1,0.576416374855276
2021-05-19,Logistic Regression,0,0,0.30320208717363273
2021-05-19,Logistic Regression,0,1,0.735862365744298
2021-05-23,Logistic Regression,0,0,0.3714621559827809
2021-05-23,Logistic Regression,1,0,0.4449695056892839
2021-05-23,Logistic Regression,0,0,0.36624094049957556
2021-05-23,Logistic Regression,1,1,0.8262216105983266
2021-05-23,Logistic Regression,1,1,0.8659888754989721
2021-05-23,Logistic Regression,0,0,0.44303895270389715
2021-05-23,Logistic Regression,1,1,0.5687223311693358
2021-05-23,Logistic Regression,0,0,0.4663666316442549
2021-05-23,Logistic Regression,1,0,0.23525402722721378
2021-05-23,Logistic Regression,1,0,0.2981896015868604
2021-08-13,Logistic Regression,0,0,0.40116849192594867
2021-08-14,Logistic Regression,0,0,0.29806231172781084
2021-08-14,Logistic Regression,1,0,0.3465066668320597
2021-08-14,Logistic Regression,1,1,0.5322716364899261
2021-08-14,Logistic Regression,1,0,0.23675412547407637
2021-08-14,Logistic Regression,1,1,0.8164571626661398
2021-08-14,Logistic Regression,1,0,0.4806875046320389
2021-08-14,Logistic Regression,1,1,0.6687440293214911
2021-08-15,Logistic Regression,1,1,0.7968619743192126
2021-08-15,Logistic Regression,0,1,0.6301858877559933
2021-08-21,Logistic Regression,1,1,0.8643578575647115
2021-08-21,Logistic Regression,0,0,0.31594604061715237
2021-08-21,Logistic Regression,1,0,0.3826190090634438
2021-08-21,Logistic Regression,0,0,0.34106353801425904
2021-08-21,Logistic Regression,0,1,0.5182555701933351
2021-08-21,Logistic Regression,0,0,0.23205861892179272
2021-08-22,Logistic Regression,0,1,0.5934691305881841
2021-08-22,Logistic Regression,0,0,0.22936783916016207
2021-08-22,Logistic Regression,0,1,0.617056914883703
2021-08-23,Logistic Regression,1,1,0.699571570530099
2021-08-28,Logistic Regression,1,1,0.7969872795664084
2021-08-28,Logistic Regression,1,0,0.39730657139106884
2021-08-28,Logistic Regression,1,1,0.6223719809929984
2021-08-28,Logistic Regression,0,0,0.293642423053482
2021-08-28,Logistic Regression,0,1,0.6599219330200047
2021-08-28,Logistic Regression,1,1,0.574082262443801
2021-08-28,Logistic Regression,0,1,0.6392173934915938
2021-08-29,Logistic Regression,0,0,0.4199199615056752
2021-08-29,Logistic Regression,0,0,0.13658232237407705
2021-08-29,Logistic Regression,0,0,0.2705332729227418
2021-09-11,Logistic Regression,0,1,0.6736760433499699
2021-09-11,Logistic Regression,1,1,0.5139409393372653
2021-09-11,Logistic Regression,0,0,0.48005787100515884
2021-09-11,Logistic Regression,0,0,0.46476288202089794
2021-09-11,Logistic Regression,0,1,0.7640451457689879
2021-09-11,Logistic Regression,1,1,0.5645497114572646
2021-09-11,Logistic Regression,0,0,0.25458217678081013
