Date,Season,HomeTeam,AwayTeam,Over2.5,ModelProbabilityOver2.5,ImpliedProbability,ProbabilityDifference,ExpectedValue,B365>2.5
2021-05-19,2020_21,West Brom,West Ham,1,0.7329515177960122,0.6369426751592356,0.09600884263677656,0.1507338829397391,1.57
2021-05-19,2020_21,Tottenham,Aston Villa,1,0.824232086081482,0.6535947712418301,0.17063731483965194,0.2610750917046676,1.53
2021-05-19,2020_21,Newcastle,Sheffield United,0,0.7883342224401715,0.5555555555555556,0.2327786668846159,0.4190016003923087,1.8
2021-05-19,2020_21,Crystal Palace,Arsenal,1,0.6636237537483295,0.5813953488372093,0.08222840491112016,0.14143285644712678,1.72
2021-05-23,2020_21,Man City,Everton,1,0.6762181301228715,0.6211180124223602,0.055100117700511264,0.0887111894978232,1.61
2021-05-23,2020_21,Leicester,Tottenham,1,0.9364191114078982,0.6369426751592356,0.2994764362486626,0.4701780049104003,1.57
2021-05-23,2020_21,Leeds,West Brom,1,0.9274794347483897,0.7142857142857143,0.21319372046267537,0.29847120864774546,1.4
2021-08-13,2021_22,Brentford,Arsenal,0,0.5404437919039058,0.47619047619047616,0.06425331571342963,0.1349319629982022,2.1
2021-08-14,2021_22,Man United,Leeds,1,0.8947278353350265,0.6211180124223602,0.27360982291266633,0.4405118148893927,1.61
2021-08-14,2021_22,Watford,Aston Villa,1,0.6858926390749606,0.5,0.18589263907496056,0.37178527814992113,2.0
2021-08-14,2021_22,Norwich,Liverpool,1,0.7987380459253288,0.6535947712418301,0.14514327468349875,0.2220692102657531,1.53
2021-08-14,2021_22,Chelsea,Crystal Palace,1,0.6345290904717138,0.5555555555555556,0.07897353491615822,0.14215236284908483,1.8
2021-08-15,2021_22,Tottenham,Man City,0,0.7892166694385286,0.5291005291005292,0.26011614033799946,0.49161950523881903,1.89
2021-08-15,2021_22,Newcastle,West Ham,1,0.8734428029740532,0.5025125628140703,0.3709302401599829,0.7381511779183658,1.99
2021-08-21,2021_22,Man City,Norwich,1,0.9031484086313835,0.7518796992481203,0.1512687093832632,0.20118738347973997,1.33
2021-08-21,2021_22,Brighton,Watford,0,0.5838295947760118,0.45454545454545453,0.1292841402305573,0.284425108507226,2.2
2021-08-21,2021_22,Leeds,Everton,1,0.6706910418075666,0.5813953488372093,0.08929569297035722,0.15358859190901453,1.72
2021-08-22,2021_22,Southampton,Man United,0,0.8001657022476896,0.5813953488372093,0.21877035341048023,0.37628500786602603,1.72
2021-08-22,2021_22,Arsenal,Chelsea,0,0.7629951126134418,0.47619047619047616,0.2868046364229656,0.6022897364882278,2.1
2021-08-23,2021_22,West Ham,Leicester,1,0.807737402305288,0.5555555555555556,0.25218184674973243,0.45392732414951853,1.8
2021-08-28,2021_22,Brighton,Everton,0,0.8619143120820858,0.45454545454545453,0.40736885753663127,0.8962114865805888,2.2
2021-08-28,2021_22,Newcastle,Southampton,1,0.6886134838468249,0.5405405405405405,0.1480729433062844,0.27393494511662597,1.85
2021-08-28,2021_22,Aston Villa,Brentford,0,0.8010469410015907,0.5263157894736842,0.2747311515279065,0.5219891879030223,1.9
2021-08-28,2021_22,Man City,Arsenal,1,0.7296309580514823,0.6369426751592356,0.09268828289224662,0.14552060414082724,1.57
2021-08-28,2021_22,Liverpool,Chelsea,0,0.6667503193150895,0.5,0.16675031931508955,0.3335006386301791,2.0
2021-08-28,2021_22,West Ham,Crystal Palace,1,0.9009087074004883,0.5263157894736842,0.37459291792680416,0.7117265440609277,1.9
2021-09-11,2021_22,Brentford,Brighton,0,0.4681646249808525,0.4,0.06816462498085246,0.17041156245213118,2.5
2021-09-11,2021_22,Crystal Palace,Tottenham,1,0.5564867125774129,0.47619047619047616,0.08029623638693673,0.1686220964125671,2.1
2021-09-11,2021_22,Chelsea,Aston Villa,1,0.6893555361478508,0.5555555555555556,0.13379998059229525,0.24083996506613148,1.8
2021-09-11,2021_22,Watford,Wolves,0,0.5937056524225504,0.4347826086956522,0.15892304372689814,0.3655230005718657,2.3
2021-09-11,2021_22,Leicester,Man City,0,0.8790318842616789,0.5813953488372093,0.29763653542446955,0.5119348409300877,1.72
2021-09-12,2021_22,Leeds,Liverpool,1,0.9464056542629876,0.6369426751592356,0.309462979103752,0.4858568771928906,1.57
2021-09-13,2021_22,Everton,Burnley,1,0.644760046922911,0.5,0.144760046922911,0.289520093845822,2.0
2021-09-18,2021_22,Man City,Southampton,0,0.8030165190414551,0.7352941176470588,0.06772240139439634,0.09210246589637894,1.36
2021-09-18,2021_22,Liverpool,Crystal Palace,1,0.7471746108399226,0.6666666666666666,0.08050794417325602,0.12076191625988386,1.5
2021-09-18,2021_22,Wolves,Brentford,0,0.4516850483469054,0.4,0.051685048346905405,0.12921262086726348,2.5
2021-09-19,2021_22,Tottenham,Chelsea,1,0.7242734549945194,0.5,0.22427345499451945,0.4485469099890389,2.0
2021-09-19,2021_22,Brighton,Leicester,1,0.8613438172185182,0.47619047619047616,0.385153341028042,0.8088220161588882,2.1
2021-09-25,2021_22,Brentford,Liverpool,1,0.6969892599739074,0.5813953488372093,0.11559391113669804,0.19882152715512058,1.72
2021-09-25,2021_22,Chelsea,Man City,0,0.7529785912118178,0.47619047619047616,0.2767881150213416,0.5812550415448174,2.1
2021-09-25,2021_22,Leeds,West Ham,1,0.8048825267395161,0.6369426751592356,0.16793985158028046,0.2636655669810404,1.57
2021-09-25,2021_22,Leicester,Burnley,1,0.7366713021075656,0.5263157894736842,0.21035551263388141,0.39967547400437464,1.9
2021-09-25,2021_22,Man United,Aston Villa,0,0.6990594927167135,0.6369426751592356,0.06211681755747789,0.09752340356524036,1.57
2021-09-25,2021_22,Everton,Norwich,0,0.5906345747511261,0.5263157894736842,0.06431878527744195,0.12220569202713949,1.9
2021-09-26,2021_22,Southampton,Wolves,0,0.5650557977370113,0.47619047619047616,0.08886532154653515,0.1866171752477237,2.1
2021-09-26,2021_22,Arsenal,Tottenham,1,0.7466894262402909,0.5,0.2466894262402909,0.4933788524805818,2.0
2021-09-27,2021_22,Crystal Palace,Brighton,0,0.5208790043843772,0.4347826086956522,0.08609639568872496,0.19802171008406733,2.3
2021-10-02,2021_22,Man United,Everton,0,0.6491810237336788,0.5555555555555556,0.09362546817812323,0.168525842720622,1.8
2021-10-02,2021_22,Brighton,Arsenal,0,0.630719281465422,0.5,0.130719281465422,0.261438562930844,2.0
2021-10-02,2021_22,Chelsea,Southampton,1,0.8534581034445176,0.5555555555555556,0.297902547888962,0.5362245862001316,1.8
2021-10-03,2021_22,West Ham,Brentford,1,0.7859465260798897,0.5263157894736842,0.2596307366062055,0.49329839955179033,1.9
2021-10-03,2021_22,Tottenham,Aston Villa,1,0.7122483310177979,0.5263157894736842,0.18593254154411376,0.3532718289338159,1.9
2021-10-03,2021_22,Liverpool,Man City,1,0.8660821907078442,0.5813953488372093,0.28468684187063487,0.48966136801749194,1.72
2021-10-03,2021_22,Crystal Palace,Leicester,1,0.6296496587407692,0.5,0.12964965874076917,0.25929931748153834,2.0
2021-10-16,2021_22,Watford,Liverpool,1,0.7020114975811893,0.6369426751592356,0.06506882242195366,0.10215805120246735,1.57
2021-10-16,2021_22,Man City,Burnley,0,0.8148542177901859,0.7352941176470588,0.07956010014312709,0.10820173619465279,1.36
2021-10-16,2021_22,Aston Villa,Wolves,1,0.6606524102561612,0.47619047619047616,0.184461934065685,0.3873700615379385,2.1
2021-10-17,2021_22,Newcastle,Tottenham,1,0.8425805795554042,0.5555555555555556,0.28702502399984864,0.5166450431997276,1.8
