Date,Bankroll,Outcome,Stake,CumulativeProfit
2021-12-26,3004.893831567192,Win,82.29161115436705,2004.8938315671921
2021-12-26,3045.5189944820954,Win,112.84767476361984,2045.5189944820954
2021-12-26,3063.250291783313,Win,16.886949810683554,2063.250291783313
2021-12-28,3102.8849086358905,Win,33.02884737714802,2102.8849086358905
2021-12-28,2967.310670146635,Lose,135.5742384892556,1967.310670146635
2021-12-29,2889.1621863971363,Lose,78.1484837494986,1889.1621863971363
2022-01-01,2993.338482311324,Win,119.74286886688226,1993.3384823113238
2022-01-01,3044.246069328493,Win,89.31155617047206,2044.246069328493
2022-01-02,3110.9078599026984,Win,66.6617905742057,2110.9078599026984
2022-01-02,3177.6058448886038,Win,55.581654154921196,2177.6058448886038
2022-01-11,3261.7600298414964,Win,79.39074052159673,2261.7600298414964
2022-01-12,3212.9641659800545,Lose,48.7958638614418,2212.9641659800545
2022-01-15,3250.5932631030114,Win,42.27988440781694,2250.5932631030114
2022-01-15,3298.682264551986,Win,32.0593342993165,2298.682264551986
2022-01-15,3189.044594564635,Lose,109.63766998735088,2189.044594564635
2022-01-16,3241.200307186055,Win,85.50116823183566,2241.200307186055
2022-01-16,3318.871998592312,Win,117.68438091857156,2318.871998592312
2022-01-18,3260.44200174057,Lose,58.4299968517422,2260.44200174057
2022-01-19,3360.4224597735956,Win,138.86174726809134,2360.4224597735956
2022-01-19,3416.5333022371465,Win,60.334239208119065,2416.5333022371465
2022-01-21,3454.7239018264613,Win,40.62829743544147,2454.7239018264613
2022-01-22,3400.6902635379083,Lose,54.03363828855314,2400.6902635379083
2022-01-22,3515.5990332901442,Win,76.60584650149063,2515.5990332901442
2022-01-23,3393.376260836532,Lose,122.22277245361252,2393.376260836532
2022-01-23,3408.257203708791,Win,20.667976211471306,2408.257203708791
2022-01-23,3366.9631191595627,Lose,41.29408454922868,2366.9631191595627
2022-02-08,3331.036853436532,Lose,35.92626572303054,2331.036853436532
2022-02-09,3453.724207478811,Win,153.3591925528486,2453.724207478811
2022-02-10,3391.5560018349443,Lose,62.168205643866784,2391.5560018349443
2022-02-10,3334.4140865066597,Lose,57.141915328284554,2334.4140865066597
2022-02-12,3240.7110845989955,Lose,93.70300190766426,2240.7110845989955
2022-02-12,3277.9280329034846,Win,84.58397341929339,2277.9280329034846
2022-02-13,3352.7669786443203,Win,113.39234203156896,2352.7669786443203
2022-02-13,3321.9946071700915,Lose,30.77237147422891,2321.9946071700915
2022-02-13,3262.6135282972423,Lose,59.38107887284906,2262.6135282972423
2022-02-15,3176.2699697117932,Lose,86.34355858544923,2176.2699697117932
2022-02-19,3146.778182069096,Lose,29.491787642697304,2146.778182069096
2022-02-19,3179.74976631268,Win,33.99132396245755,2179.74976631268
2022-02-19,3055.0054353435335,Lose,124.7443309691467,2055.0054353435335
2022-02-19,3003.8287086685764,Lose,51.1767266749573,2003.8287086685764
2022-02-19,3070.060611472301,Win,116.1963207082886,2070.060611472301
2022-02-19,3110.2541152760396,Win,111.64862167705165,2110.2541152760396
2022-02-20,3177.9389466754506,Win,110.95873999903444,2177.9389466754506
2022-02-23,3216.475213453103,Win,137.62952420590204,2216.475213453103
2022-02-23,3198.1255777951183,Lose,18.349635657984816,2198.1255777951183
2022-02-24,3295.46843333843,Win,81.11904628609311,2295.46843333843
2022-02-26,3271.9663580771494,Lose,23.50207526128021,2271.9663580771494
2022-02-26,3173.429671914319,Lose,98.53668616283029,2173.429671914319
2022-02-26,3226.4474452918685,Win,86.9143825861469,2226.4474452918685
2022-02-26,3199.604133040879,Lose,26.843312250989488,2199.604133040879
2022-02-27,3160.4981114796988,Lose,39.10602156118033,2160.4981114796988
2022-03-01,3086.647110522391,Lose,73.85100095730795,2086.647110522391
2022-03-05,3146.860247994261,Win,46.31779805528485,2146.860247994261
2022-03-05,3034.4792950676488,Lose,112.38095292661238,2034.4792950676488
2022-03-05,3107.135943600069,Win,66.05149866583649,2107.135943600069
2022-03-05,3179.714521360397,Win,55.82967520025236,2179.714521360397
2022-03-05,3124.277530322731,Lose,55.43699103766649,2124.277530322731
2022-03-06,3193.942215350483,Win,114.20440168483977,2193.942215350483
2022-03-10,3282.58537675118,Win,110.80395175087129,2282.58537675118
2022-03-10,3383.064213046771,Win,139.55393929943193,2383.064213046771
2022-03-10,3485.8591390717165,Win,79.07302001918907,2485.8591390717165
2022-03-12,3448.2873224966797,Lose,37.571816575036955,2448.2873224966797
2022-03-12,3531.519769706896,Win,115.60062112530085,2531.519769706896
2022-03-13,3638.967166420107,Win,106.38356110218905,2638.967166420107
2022-03-13,3612.8385815497877,Lose,26.128584870319273,2612.8385815497877
2022-03-13,3576.0545211189706,Lose,36.784060430817156,2576.0545211189706
2022-03-16,3459.547637327375,Lose,116.50688379159551,2459.547637327375
2022-03-18,3531.5946570041033,Win,72.77476735023049,2531.5946570041033
2022-03-20,3558.893336820235,Win,37.9148330779609,2558.893336820235
2022-03-20,3612.7856724306585,Win,59.22234682464092,2612.7856724306585
2022-04-02,3529.5406847853906,Lose,83.24498764526808,2529.5406847853906
2022-04-02,3550.5323553300527,Win,15.322387258877615,2550.5323553300527
2022-04-02,3416.4974611617554,Lose,134.03489416829711,2416.4974611617554
2022-04-02,3433.7224912747656,Win,18.928604519791246,2433.7224912747656
2022-04-03,3549.958273110976,Win,145.29472729526262,2549.958273110976
2022-04-08,3458.9279557609357,Lose,91.03031735004018,2458.9279557609357
2022-04-09,3512.0859389111592,Win,51.11344533675323,2512.0859389111592
2022-04-09,3619.3429443634172,Win,112.9021110023768,2619.3429443634172
2022-04-09,3650.5104270010215,Win,36.241258880935014,2650.5104270010215
2022-04-09,3623.5102028346414,Lose,27.00022416638023,2623.5102028346414
2022-04-10,3679.1641653186307,Win,56.216123721201534,2679.1641653186307
2022-04-10,3622.38025689968,Lose,56.78390841895066,2622.38025689968
2022-04-10,3706.720600467013,Win,117.13936606574053,2706.720600467013
2022-04-16,3728.346955066769,Win,43.252709199512296,2728.346955066769
2022-04-16,3691.6669396996067,Lose,36.68001536716248,2691.6669396996067
2022-04-16,3638.5721775216734,Lose,53.094762177933085,2638.5721775216734
2022-04-17,3574.4701503173947,Lose,64.10202720427891,2574.4701503173947
2022-04-17,3700.976223636614,Win,127.78391244365592,2700.976223636614
2022-04-19,3774.8508218397433,Win,147.7491964062585,2774.8508218397433
2022-04-20,3704.2463708950722,Lose,70.60445094467116,2704.2463708950722
2022-04-20,3665.9790800594533,Lose,38.267290835618915,2665.9790800594533
2022-04-20,3730.4622416364587,Win,105.71010094591064,2730.4622416364587
2022-04-20,3847.8627326864607,Win,106.72771913636544,2847.8627326864607
2022-04-21,3819.5526432945103,Lose,28.310089391950353,2819.5526432945103
2022-04-23,3728.2583653373363,Lose,91.29427795717386,2728.2583653373363
2022-04-23,3786.8775880203852,Win,162.8311741195807,2786.8775880203852
2022-04-23,3704.1617914782228,Lose,82.71579654216237,2704.1617914782228
2022-04-23,3756.238408360931,Win,64.29211960828181,2756.238408360931
2022-04-24,3696.5553365870933,Lose,59.68307177383769,2696.5553365870933
2022-04-24,3655.882900099877,Lose,40.67243648721627,2655.882900099877
2022-04-28,3576.567747320236,Lose,79.31515277964135,2576.567747320236
2022-04-30,3475.872207145764,Lose,100.69554017447189,2475.872207145764
2022-04-30,3667.6953950848406,Win,127.88212529271765,2667.6953950848406
2022-04-30,3689.257175166664,Win,43.12356016364677,2689.257175166664
2022-05-01,3814.1116066128848,Win,140.28587802946137,2814.1116066128848
2022-05-01,3906.5175009409418,Win,162.11560408431046,2906.5175009409418
2022-05-01,3886.4873342311566,Lose,20.030166709785284,2886.4873342311566
2022-05-02,3925.6172386312664,Win,54.34708944459691,2925.6172386312664
2022-05-07,3871.829412533393,Lose,53.78782609787303,2871.829412533393
2022-05-07,3698.389878488533,Lose,173.43953404486012,2698.389878488533
2022-05-07,3795.871122863968,Win,102.61183618466842,2795.871122863968
2022-05-07,3915.6402792561244,Win,111.93379102070679,2915.6402792561244
2022-05-07,4003.026808977078,Win,93.96401045263849,3003.026808977078
2022-05-08,4076.868809877175,Win,147.6840018001943,3076.868809877175
2022-05-08,4132.04581919323,Win,90.45411363287762,3132.0458191932303
2022-05-08,4190.790770281239,Win,58.16331790891967,3190.790770281239
2022-05-10,4262.148532209071,Win,116.97993758661073,3262.148532209071
2022-05-11,4343.411895063736,Win,123.1263073555527,3343.4118950637358
2022-05-11,4390.403027311077,Win,77.03464302842715,3390.4030273110766
2022-05-12,4509.2979275476055,Win,148.61862529566156,3509.2979275476055
2022-05-15,4401.508315088902,Lose,107.7896124587028,3401.5083150889022
